"ID","Study.ID","Reference","Grouping","Victim","Perpetrator","Route.Victim","Route.Perpetrator","Mechanism","Compartment","AUCR.Avg","AUCR.AvgType","AUCR.Var","AUCR.VarType","CmaxR.Avg","CmaxR.AvgType","CmaxR.Var","CmaxR.VarType","t_placebo_0","t_placebo_end","t_treatment_0","t_treatment_end","t.Unit","R.Dose.correction.factor","Comment","Dose","Dose.free.API","Dose.Unit","Route","Times.of.Administration","Times.Unit","Description","Comment.Regimen","Administered.form","Formulation.type","Infusion.duration.[min]","Water.volume.ingested.for.drug.intake.[mL]","Comment.on.administration/formulation","Fasted/Fed.state","Duration.of.fasting.before.drug.administration.[h]","Duration.of.fasting.after.drug.administration.[h]","Comment.on.food.intake"
50,"Ahonen 1995","http://www.ncbi.nlm.nih.gov/pubmed/8527290","with Perpetrator (Itraconazole)","Midazolam","Itraconazole","PO","PO","Reversible_Inhibition","Plasma",5.74509803921569,"Approx. Avg",NA,NA,2.55882352941176,"Approx. Avg",NA,NA,"0","inf","74","inf","h",NA,NA,"100",NA,"mg","PO","(S-0,T-24,R-4)","h","MD OD (4 days)","OD",NA,"Sporanox",NA,NA,"Sporanox Janssen",NA,NA,NA,NA
54,"Backman 1996","https://www.ncbi.nlm.nih.gov/pubmed/8549036","with Perpetrator (Rifampicin)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.041,"Arith.mean",NA,NA,0.0618181818181818,"Approx. CmaxR",NA,NA,"0","inf","113","inf","h",1,NA,"600",NA,"mg","PO","0-24-48-72-96","h","MD OD (5 days)",NA,NA,"300 mg capsules, Rimapen Orion",NA,NA,NA,NA,NA,NA,NA
56,"Backman 1998","https://www.ncbi.nlm.nih.gov/pubmed/9591931","Phase IV (during Perpetrator (Rifampicin))","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.023,"arith. mean","6.0000000000000001E-3","Arith. SEM",0.054,"Arith. Mean","1.2E-2","Arith. SEM","0","inf","113","185","h",1,NA,"600",NA,"mg","PO","0-24-48-72-96","h","MD OD (5 days)",NA,NA,"300 mg capsules, Rimapen Orion",NA,NA,NA,"Fasted",NA,NA,NA
57,"Backman 1998","https://www.ncbi.nlm.nih.gov/pubmed/9591931","Phase V (4 days after Perpetrator (Rifampicin))","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.132,"arith. mean","2.8000000000000001E-2","Arith. SEM",0.202,"Arith. Mean","4.2000000000000003E-2","Arith. SEM","0","inf","185","inf","h",1,NA,"600",NA,"mg","PO","0-24-48-72-96","h","MD OD (5 days)",NA,NA,"300 mg capsules, Rimapen Orion",NA,NA,NA,"Fasted",NA,NA,NA
58,"Backman 1998","https://www.ncbi.nlm.nih.gov/pubmed/9591931","Phase II (during Perpetrator (Itraconazole))","Midazolam","Itraconazole","PO","PO","Reversible_Inhibition","Plasma",7.97,"arith. mean","1.1399999999999999","Arith. SEM",3.12,"Arith. Mean","0.37","Arith. SEM","0","inf","74","170","h",1,"Cave! Different dose treatment vs control. Ratios are dose-corrected.","200",NA,"mg","PO","0-24-48-72","h","MD OD (4 days)",NA,NA,"Sporanox 100-mg capsule",NA,NA,NA,"Fasted",NA,NA,NA
59,"Backman 1998","https://www.ncbi.nlm.nih.gov/pubmed/9591931","Phase III (4 days after Perpetrator (Itraconazole))","Midazolam","Itraconazole","PO","PO","Reversible_Inhibition","Plasma",2.63,"arith. mean","0.4","Arith. SEM",1.92,"Arith. Mean","0.31","Arith. SEM","0","inf","170","inf","h",1,"Cave! Different dose treatment vs control. Ratios are dose-corrected.","200",NA,"mg","PO","0-24-48-72","h","MD OD (4 days)",NA,NA,"Sporanox 100-mg capsule",NA,NA,NA,"Fasted",NA,NA,NA
113,"Chung 2006","https://www.ncbi.nlm.nih.gov/pubmed/16580903","with Perpetrator (Rifampicin)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.124489795918367,"Approx. Avg",NA,NA,0.169565217391304,"Approx. CmaxR",NA,NA,"0","inf","166","inf","h",1,NA,"600",NA,"mg","PO","S0-T24-R9","h","MD OD (9 days)",NA,"300-mg capsules (UDL)",NA,NA,NA,"2x 300 mg capsules",NA,NA,NA,NA
114,"Chung 2006","https://www.ncbi.nlm.nih.gov/pubmed/16580903","with Perpetrator (Ketoconazole)","Midazolam","Ketoconazole","PO","PO","Reversible_Inhibition","Plasma",9.51020408163265,"Approx. Avg",NA,NA,2.39130434782609,"Approx. CmaxR",NA,NA,"0","inf","118","inf","h",NA,NA,"400",NA,"mg","PO","(S-0,T-24,R-10)","h","MD OD (10 days)",NA,"200-mg tablets (Taro)",NA,NA,NA,"2x 200 mg tablets",NA,NA,NA,NA
116,"Chung 2006","https://www.ncbi.nlm.nih.gov/pubmed/16580903","with Perpetrator (Rifampicin)","Simvastatin","Rifampicin","PO","PO","Induction","Plasma",0.0896551724137931,"Approx. Avg",NA,NA,0.148648648648649,"Approx. CmaxR",NA,NA,"0","inf","190","inf","h",1,NA,"600",NA,"mg","PO","S0-T24-R9","h","MD OD (9 days)",NA,"300-mg capsules (UDL)",NA,NA,NA,"2x 300 mg capsules",NA,NA,NA,NA
117,"Chung 2006","https://www.ncbi.nlm.nih.gov/pubmed/16580903","with Perpetrator (Ketoconazole)","Simvastatin","Ketoconazole","PO","PO","Reversible_Inhibition","Plasma",12.551724137931,"Approx. Avg",NA,NA,7.43243243243243,"Approx. CmaxR",NA,NA,"0","inf","190","inf","h",NA,NA,"400",NA,"mg","PO","(S-0,T-24,R-10)","h","MD OD (10 days)",NA,"200-mg tablets (Taro)",NA,NA,NA,"2x 200 mg tablets",NA,NA,NA,NA
129,"Eap 2004","https://www.ncbi.nlm.nih.gov/pubmed/15114429","0.075 mg with Perpetrator (Rifampicin)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.441176470588235,"Approx. Avg",NA,NA,0.225806451612903,"Approx. Avg",NA,NA,"0","inf","90","114","h",1,NA,"450",NA,"mg","PO","S0-T24-R5","h","MD OD (5 days)","QD",NA,NA,NA,NA,NA,NA,NA,NA,NA
130,"Eap 2004","https://www.ncbi.nlm.nih.gov/pubmed/15114429","0.075 mg with Perpetrator (Ketoconazole)","Midazolam","Ketoconazole","PO","PO","Reversible_Inhibition","Plasma",6.47058823529412,"Approx. Avg",NA,NA,3.74193548387097,"Approx. Avg",NA,NA,"0","inf","48","inf","h",NA,NA,"200",NA,"mg","PO","0-12-24-36","h","MD BID (2 days)","BID",NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"Eap 2004","https://www.ncbi.nlm.nih.gov/pubmed/15114429","7.5 mg with Perpetrator (Rifampicin)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.0522388059701493,"Approx. Avg",NA,NA,0.111538461538462,"Approx. Avg",NA,NA,"0","inf","114","inf","h",1,NA,"450",NA,"mg","PO","S0-T24-R5","h","MD OD (5 days)","QD",NA,NA,NA,NA,NA,NA,NA,NA,NA
173,"Gorski 1998","https://www.ncbi.nlm.nih.gov/pubmed/9728893","po with Perpetrator (Clarithromycin)","Midazolam","Clarithromycin","PO","PO","Mechanism_based_Inactivation","Whole Blood",7.14285714285714,"Approx. Avg",NA,NA,NA,NA,NA,NA,"0","inf","146","inf","h",NA,"from CL (L/hr/kg)","500",NA,"mg","PO","0-(S12-T12-R13)","h","MD BID (7 days)","MD",NA,"pill",NA,NA,NA,NA,NA,NA,NA
175,"Gorski 1998","https://www.ncbi.nlm.nih.gov/pubmed/9728893","iv with Perpetrator (Clarithromycin)","Midazolam","Clarithromycin","IV","PO","Mechanism_based_Inactivation","Whole Blood",2.66666666666667,"Approx. Avg",NA,NA,NA,NA,NA,NA,"0","inf","146","inf","h",NA,"from CL (L/hr/kg)","500",NA,"mg","PO","0-(S12-T12-R13)","h","MD BID (7 days)","MD",NA,"pill",NA,NA,NA,NA,NA,NA,NA
